,facility_id,facility_name,facility_type,capacity_type,capacity_count,region,license_issue_date,inspection_date,gps_location,remarks
8045,06207,Parks-Villanueva Health Centre (CHRIST),clinic,unknown,unknown,Christ Church,2025-06-17 00:00:00,2023-01-10 00:00:00,"12.87181, -59.04692",Needs upgrade
8048,6209,Walsh Ltd Polyclinic,clinic,unknown,48,St. George,2021-06-25 00:00:00,2024-11-03 00:00:00,unknown,Needs upgrade
8051,#6211,Todd-Inc Medical Center (ChristChurch),unknown,bed,468,Christ Church,2023-07-11 00:00:00,2025-10-06 00:00:00,12°43′12″N 59°9′25″W,Loved it
8053,06212,Ewing-Johnson Medical Center,polyclinic,unknown,402,St. Lucy,2018-02-09 00:00:00,2018-08-12 00:00:00,"12.75157, -59.07293", 
8055,5e4d3a,Smith-Greene Infirmary,unknown,bed,314,St. James,2021-06-18 00:00:00,2024-07-18 00:00:00,"12.87751, -58.85582",Follow-up 2023
8056,#6214,Holden-Diaz Polyclinic,hospital,bed,296,St. George,2017-12-18 00:00:00,2021-01-28 00:00:00,13°3′5″N 58°43′35″W,Loved it
8059,6216,Morales-Martinez Infirmary,unknown,unknown,unknown,St. John,2016-05-31 00:00:00,2023-09-01 00:00:00,unknown,unknown
8062,HF-6218,"Rogers,-Kim-and-Sheppard Infirmary",clinic,unknown,unknown,Christ Church,2018-10-23 00:00:00,2019-04-30 00:00:00,"12.82938, -58.78693",unknown
8063,HF-6219,Wheeler Group Hosp. (St.),hospital,bed,102,St. Jospeh,2018-11-15 00:00:00,2024-06-12 00:00:00,"-59.08248, 13.08028", 
8064,6220,House-Weaver Clinic,community health centre,cot,61,St. John,2018-08-16 00:00:00,2022-12-23 00:00:00,POINT(-58.75664 13.21731),Loved it
8065,HF-6221,Mcintosh Inc,hospital,unknown,unknown,St. George,2017-12-05 00:00:00,2022-08-18 00:00:00,13°0′58″N 59°6′20″W,unknown
8066,452133,Smith-Gutierrez Medical Center (St.James)💊,community health centre,bed,50,St. James,2016-11-15 00:00:00,2023-03-08 00:00:00,"-59.20126, 13.22158",unknown
8067,#6223,"Patel, Martinez and Wells Health Centre (St.John)",clinic,unknown,unknown,St. John,2020-01-08 00:00:00,2023-11-06 00:00:00,POINT(-59.25240 13.10177),Good
8068,06224,"White, Robertson and Blake Clinic",community health centre,unknown,unknown,St. George,2023-06-23 00:00:00,2022-11-08 00:00:00,-59.05135;12.89842,Good
8069,HF-6225,Hall-Hawkins Infirmary,hospital,unknown,unknown,St. George,2023-07-24 00:00:00,2021-04-16 00:00:00,"-59.00294, 12.77606",Reinspection due
8070,06226,"Stone, Patton and Perry Health Centre",community health centre,unknown,171,St. Lucy,2023-04-19 00:00:00,2023-10-22 00:00:00,-58.94024;12.94858,Loved it
8074,06228,Burke Ltd Polyclinic,community health centre,unknown,79,St. Andrew,2025-11-08 00:00:00,2020-12-22 00:00:00,12°47′33″N 58°42′20″W,Needs upgrade
8077,#6230,"Hoffman, Rodgers and Willis Infirmary",community health centre,unknown,181,St. Jospeh,2017-06-10 00:00:00,2020-10-09 00:00:00,"13.00744, -59.19746",unknown
8079,#6231,Garcia Inc Clinic,clinic,unknown,unknown,St. John,2017-03-05 00:00:00,2020-02-09 00:00:00,unknown, 
8080,6232,Tran-Lopez Hospital©,unknown,bed,454,St. Jospeh,2019-10-06 00:00:00,2022-06-28 00:00:00,unknown,Loved it
8082,#6233,"Wilson-Cruz
NewLine",polyclinic,unknown,unknown,St. Lucy,2020-05-09 00:00:00,2024-06-08 00:00:00,unknown,Needs upgrade
8084,6234,Haynes-Group Infirmary (leahciM),community health centre,unknown,168,St. Michael,2018-11-18 00:00:00,2025-12-01 00:00:00,"12.93385, -58.93135",Good
8085,#6235,Garcia PLC Infirmary (St.)✨,community health centre,unknown,unknown,St. Lucy,2016-11-29 00:00:00,2022-12-30 00:00:00,"13.29003, -58.80851",Needs upgrade
8086,06236,"Hill LLC Medical Center (St)
NewLine",community health centre,unknown,341,St. John,2017-11-27 00:00:00,2021-09-21 00:00:00,-58.75306;12.92677, 
8087,13d301,Chambers-Miller Health Centre,community health centre,bed,101,St. George,2025-07-03 00:00:00,2025-05-28 00:00:00,unknown,Follow-up 2023
8088,HF-6238,"Taylor, Harrison and Price",clinic,unknown,59,St. Michael,2018-10-14 00:00:00,2024-01-16 00:00:00,-58.77663;13.08773,Good
8090,f7dbd6,"Mathews, Holland and Bradley Polyclinic",hospital,bed,452,St. John,2018-08-05 00:00:00,2021-10-18 00:00:00,13°14′29″N 59°11′14″W,none
8093,c3642a,Charles-Thompson,hospital,unknown,411,St. Jospeh,2023-05-27 00:00:00,2025-04-25 00:00:00,13°4′48″N 59°0′12″W,unknown
8095,#6242,Williams-Group Infirmary,hospital,bed,10,Christ Church,2022-03-02 00:00:00,2025-11-05 00:00:00,"13.09345, -58.84178",unknown
8097,#6243,Stuart-Walker Infirmary,polyclinic,unknown,unknown,St. Peter,2025-09-29 00:00:00,2018-09-04 00:00:00,"12.87969, -58.86684",none
8099,#6244,Brown-Robinson,hospital,bed,105,St. George,2023-10-14 00:00:00,2025-03-13 00:00:00,12°58′8″N 58°46′12″W,Follow-up 2023
8103,HF-6247,"Camacho, Henderson and Copeland Hosp. (St)",clinic,bed,10,St. John,2017-02-11 00:00:00,2023-04-29 00:00:00,-59.18863;13.12587,unknown
8104,#6248,"May, Smith and Willis Clinic",clinic,unknown,unknown,St. Jospeh,2020-08-23 00:00:00,2025-05-06 00:00:00,12°44′52″N 58°42′30″W,Reinspection due
8106,06250,"Miller, Ellison and Rodriguez Polyclinic (St.)",community health centre,bed,331,St. George,2020-08-19 00:00:00,2021-12-08 00:00:00,"12.94498, -58.96999",Needs upgrade
8107,#6251,"Humphrey, Mitchell and Palmer Hospital",unknown,unknown,unknown,Christ Church,2017-11-02 00:00:00,2022-06-15 00:00:00,-58.76089;12.89079,none
8108,0c2efb,Briggs-Thompson 🏥 (hpesoJ),community health centre,unknown,unknown,St. Joseph,2024-09-11 00:00:00,2021-07-27 00:00:00,"13.09459, -59.15007",Good
8109,06253,Hartman-Wilson Polyclinic,hospital,bed,452,St. Michael,2025-01-03 00:00:00,2025-04-25 00:00:00,-58.82706;13.16639,Needs upgrade
8110,HF-6254,Williams-Group (St.George),community health centre,unknown,443,St. George,2021-04-10 00:00:00,2021-07-28 00:00:00,"12.74279, -58.77526",unknown
8112,HF-6255,Brown-Hamilton Hosp.,community health centre,bed,10,St. Jospeh,2018-06-10 00:00:00,2022-02-22 00:00:00,"12.89612, -58.70809",Reinspection due
8113,06256,"Zamora, Myers and Smith",unknown,unknown,331,St. Jospeh,2016-08-22 00:00:00,2019-03-24 00:00:00,unknown,Good
8117,7502ad,Rogers-Thomas Medical Center,polyclinic,bed,181,St. James,2020-11-06 00:00:00,2025-07-09 00:00:00,POINT(-58.92621 12.72235),unknown
8118,c88d47,Freeman Group (St.Joseph),clinic,bed,32,St. Jospeh,2018-01-03 00:00:00,2020-05-28 00:00:00,unknown, 
8120,06261,"Lee, Joseph and Wilson",community health centre,bed,334,St. Michael,2017-04-21 00:00:00,2021-12-06 00:00:00,unknown, 
8121,06262,"Rivera, Kim and Robinson Clinic",clinic,unknown,unknown,Christ Church,2025-07-16 00:00:00,2022-02-08 00:00:00,13°1′46″N 59°1′47″W,unknown
8125,330fb1,Moore-Rogers Medical Center (ST.),community health centre,unknown,unknown,St. Lucy,2019-12-26 00:00:00,2024-08-25 00:00:00,unknown,Loved it
8127,HF-6266,Bradshaw Ltd 🏥,community health centre,cot,164,St. Peter,2022-08-15 00:00:00,2020-08-12 00:00:00,unknown,unknown
8128,#6267,Lynch-Carter Hosp. (st.),community health centre,unknown,unknown,St. Andrew,2023-12-17 00:00:00,2018-05-06 00:00:00,-59.22506;13.20547,none
8130,HF-6268,"Graham, Wells and Perez Polyclinic (St.)",clinic,unknown,355,St. James,2024-09-21 00:00:00,2021-12-17 00:00:00,"-58.72612, 13.11330",none
8131,6269,"Frey, Castillo and Rojas",community health centre,unknown,unknown,Christ Church,2017-10-29 00:00:00,2021-09-07 00:00:00,"12.87795, -58.75990",unknown
8132,06270,"Edwards, Johnson and Beard Infirmary (st.)",hospital,bed,92,St. James,2023-08-26 00:00:00,2021-02-18 00:00:00,"-59.12805, 13.28696",Loved it
8134,06271,"Rosario,-Sanford-and-Lang Hosp.",clinic,unknown,unknown,Christ Church,2018-10-15 00:00:00,2022-10-03 00:00:00,-58.94585;13.20163,Good
8136,3d96ce,Shaw and Sons 🏥,clinic,bed,10,St. George,2023-05-11 00:00:00,2019-12-18 00:00:00,POINT(-59.11595 13.08054),unknown
8138,6273,Ford PLC Infirmary (St.Lucy),community health centre,bed,216,St. Lucy,2019-04-14 00:00:00,2024-09-28 00:00:00,"12.93170, -59.01629",Needs upgrade
8141,06276,"Mejia-Williams Clinic
NewLine",hospital,unknown,478,St. Michael,2016-08-10 00:00:00,2024-05-18 00:00:00,"-59.10330, 13.15690",Reinspection due
8142,6277,Gonzalez-Taylor (st.),hospital,unknown,29,St. Michael,2022-03-12 00:00:00,2019-08-23 00:00:00,"-59.28555, 13.03056",Good
8145,886131,"Johnson, Orr and Perez",clinic,unknown,492,St. Peter,2021-08-06 00:00:00,2019-02-14 00:00:00,"12.72559, -58.99244",Good
8147,6280,Cook-Blackburn Polyclinic (Christ),polyclinic,bed,20,Christ Church,2022-01-11 00:00:00,2024-12-11 00:00:00,-58.90426;12.70029,Loved it
8148,HF-6281,Walker-Cain 🏥,clinic,cot,81,St. Andrew,2020-10-17 00:00:00,2018-08-02 00:00:00,"12.78361, -58.79754",none
8150,HF-6282,"Carroll, Baldwin and Gordon Hospital",community health centre,unknown,unknown,Christ Church,2021-03-01 00:00:00,2025-09-07 00:00:00,POINT(-59.24072 13.17901), 
8152,b7983d,"Jordan,-Mills-and-Keith Hosp. (leahciM)",community health centre,bed,91,St. Michael,2016-12-29 00:00:00,2021-12-10 00:00:00,unknown,none
8153,6284,Knight-PLC,community health centre,unknown,unknown,St. Peter,2023-04-09 00:00:00,2025-06-12 00:00:00,unknown,Good
8155,HF-6285,"Livingston-Stone Polyclinic
NewLine",community health centre,bed,10,St. Lucy,unknown,2024-09-11 00:00:00,-59.04861;13.07822,Needs upgrade
8156,6286,Pierce-Larsen 🏥 (christ),community health centre,cot,482,Christ Church,2016-12-27 00:00:00,2023-09-02 00:00:00,-59.14242;13.20706,unknown
8158,#6287,Mitchell and Sons Hosp.,community health centre,unknown,unknown,St. Peter,2020-04-15 00:00:00,2022-12-15 00:00:00,-58.99482;13.27209,unknown
8159,HF-6288,Grant-Huang Medical Center✨,clinic,bed,454,St. James,2024-04-24 00:00:00,2018-05-04 00:00:00,unknown,unknown
8161,6289,Haynes-Santiago Infirmary (reteP),unknown,unknown,unknown,St. Peter,2022-01-18 00:00:00,2024-05-11 00:00:00,"-59.25566, 13.05797",none
8162,HF-6290,Montgomery-Johnson,community health centre,unknown,unknown,St. Michael,2025-07-11 00:00:00,2025-04-18 00:00:00,"-58.99728, 12.84539",Loved it
8163,HF-6291,Hart Inc Medical Center,clinic,unknown,unknown,St. James,2018-11-01 00:00:00,2024-07-21 00:00:00,"-59.22368, 13.21898",Follow-up 2023
8167,#6294,"Robinson, Brown and Howard Medical Center",hospital,bed,424,Christ Church,2021-05-10 00:00:00,2020-07-09 00:00:00,POINT(-58.85960 12.98599),Needs upgrade
8168,06295,"Payne, Clark and Mccoy Infirmary",hospital,cot,399,St. John,2021-04-05 00:00:00,2018-07-12 00:00:00,unknown,unknown
8169,06296,"Richardson, Adkins and Hicks Clinic",unknown,unknown,318,St. Jospeh,2025-09-02 00:00:00,2020-04-27 00:00:00,"12.99475, -58.71237",Needs upgrade
8173,2f4500,Johnson-Stuart Hospital,unknown,unknown,80,St. Andrew,2020-02-27 00:00:00,2025-03-07 00:00:00,-59.03552;12.88614,Loved it
8177,06302,"Norris, Elliott and Simmons Medical Center (ST.)",clinic,bed,10,St. Michael,2019-01-21 00:00:00,2024-06-02 00:00:00,"-59.23923, 12.73133",Good
8180,HF-6304,Casey and Sons 🏥 (St.),community health centre,bed,10,St. Andrew,2025-04-15 00:00:00,2020-06-06 00:00:00,"-58.85762, 12.78725",unknown
8181,ece65d,"Garcia, Collins and Mcintyre",clinic,unknown,103,St. Joseph,2024-12-20 00:00:00,2022-11-23 00:00:00,POINT(-59.29963 12.84405), 
8182,35fbfa,Trevino PLC Polyclinic,community health centre,unknown,439,St. John,2021-12-21 00:00:00,2024-03-18 00:00:00,"-58.75617, 13.16087",Good
8183,HF-6307,"Hughes, Bautista and Wilson (ST.)",hospital,unknown,149,St. Jospeh,2017-03-12 00:00:00,2023-01-03 00:00:00,13°9′55″N 59°3′23″W,unknown
8184,fb5429,Jenkins Group Hosp.,community health centre,unknown,156,St. George,2018-10-06 00:00:00,2018-11-03 00:00:00,POINT(-59.14076 13.09934),unknown
8185,06309,Lester Inc,hospital,unknown,420,St. James,2021-11-10 00:00:00,2025-11-26 00:00:00,-59.13600;13.05496,Loved it
8187,b15189,Jackson-Patterson,unknown,unknown,unknown,St. James,2022-10-16 00:00:00,2018-07-22 00:00:00,POINT(-59.12591 13.09802),none
8188,HF-6312,Hall and Sons (St),community health centre,bed,290,St. James,2017-01-12 00:00:00,2022-05-12 00:00:00,12°55′40″N 58°55′31″W,Good
8189,2e8d92,"Barnes,-Odonnell-and-Peters Hospital (St.)",community health centre,unknown,91,St. Peter,2020-12-11 00:00:00,2020-05-13 00:00:00,-59.24052;13.06183,none
8191,#6314,"Wood, Woods and Wood (semaJ)",clinic,bed,10,St. James,2018-07-29 00:00:00,2020-12-01 00:00:00,unknown,Reinspection due
8193,HF-6315,"Delgado, Fox and Clay Hosp. (St)💊",clinic,unknown,239,St. James,2025-08-24 00:00:00,2023-01-11 00:00:00,-58.84009;13.04495,Loved it
8194,1c1afe,"Porter, Reyes and Haynes (werdnA)",polyclinic,unknown,unknown,St. Andrew,2019-08-08 00:00:00,2019-09-23 00:00:00,"13.14032, -59.24666",Follow-up 2023
8195,06317,Herrera-Krueger (St.),community health centre,bed,200,St. Lucy,2023-01-29 00:00:00,2020-06-23 00:00:00,12°47′15″N 59°9′22″W,none
8196,#6318,Dean Inc Infirmary (St.),hospital,bed,97,St. John,2022-04-01 00:00:00,2022-11-24 00:00:00,"-59.01962, 13.07882",Good
8199,06320,Mcgee-Ortiz,clinic,unknown,189,St. Jospeh,2024-06-13 00:00:00,2018-06-18 00:00:00,"-58.92240, 13.15984",Follow-up 2023
8200,6321,Hill LLC Hosp.,polyclinic,unknown,283,St. James,2019-11-29 00:00:00,2021-03-23 00:00:00,-59.21511;13.02011,Reinspection due
8201,06322,"Harmon, Henderson and Joseph Hosp. (St.)",polyclinic,unknown,381,St. James,2016-08-25 00:00:00,2022-01-22 00:00:00,POINT(-59.09422 13.18462),Follow-up 2023
8202,#6323,"Anderson, Blair and Wagner Infirmary",community health centre,unknown,14,St. George,2018-02-17 00:00:00,2023-04-09 00:00:00,13°16′3″N 59°1′29″W,Loved it
8203,HF-6324,"Hamilton, King and Noble",clinic,bed,16,St. Michael,2025-08-16 00:00:00,2019-03-07 00:00:00,"12.89135, -58.76193",Follow-up 2023
8204,00727e,Watkins-Wyatt Medical Center,hospital,bed,44,St. Jospeh,2017-05-02 00:00:00,2023-09-16 00:00:00,"-58.73128, 12.75318",Reinspection due
8207,34e24e,"Arroyo, Lee and Ford Medical Center",community health centre,unknown,unknown,St. Andrew,2016-03-29 00:00:00,2018-05-17 00:00:00,-58.73343;12.73776,Good
8211,06329,Wyatt-Wright (St.George),hospital,unknown,unknown,St. George,2018-03-08 00:00:00,2019-07-03 00:00:00,"-59.08491, 12.99109",Follow-up 2023
8212,094f3f,"Reeves, Johnson and Hall Polyclinic",polyclinic,bed,10,Christ Church,2016-06-12 00:00:00,2020-05-03 00:00:00,-59.09445;12.90729,Follow-up 2023
8213,#6331,"Russell,-Wallace-and-Hall 🏥",polyclinic,unknown,unknown,Christ Church,2019-12-21 00:00:00,2022-01-20 00:00:00,-58.88499;12.88893,Loved it
8216,6333,"Cox, Miles and Reeves",clinic,unknown,144,St. James,2025-06-21 00:00:00,2018-02-14 00:00:00,"-59.25242, 13.03939",unknown
8218,#6334,"Hall, Parker and Miller",community health centre,cot,468,St. Jospeh,2022-10-12 00:00:00,2021-02-11 00:00:00,"-58.89223, 12.93881",Loved it
8220,6335,"Roth, Johns and Lopez Infirmary",clinic,cot,171,St. Peter,2025-03-03 00:00:00,2019-08-30 00:00:00,-59.03299;13.19078,Follow-up 2023
8221,5bfaf6,Stevens-Dean Health Centre (St.),community health centre,bed,97,St. Peter,2022-01-19 00:00:00,2023-11-27 00:00:00,"-58.78680, 12.76131",Good
8222,HF-6337,Ball-Scott Medical Center,unknown,unknown,474,St. Peter,2024-12-24 00:00:00,2019-01-12 00:00:00,POINT(-59.12291 12.94350),unknown
8226,#6340,"Miller, Jones and Gates 🏥",community health centre,bed,136,Christ Church,2018-03-18 00:00:00,2018-07-18 00:00:00,-59.10421;13.20599,Follow-up 2023
8230,06343,"White, Cisneros and Thomas Polyclinic (St.)",polyclinic,unknown,118,St. Lucy,2024-02-09 00:00:00,2020-10-30 00:00:00,POINT(-59.13383 13.29168),Reinspection due
8232,06344,Ross-Group Polyclinic,clinic,unknown,466,St. John,2025-04-17 00:00:00,2022-11-23 00:00:00,"-59.20744, 12.76775",Good
8234,6345,Coleman and Sons Clinic,clinic,unknown,unknown,St. Andrew,2022-03-19 00:00:00,2019-12-10 00:00:00,13°12′46″N 58°52′31″W,Good
8239,6349,Bowen-Hill Hosp.,polyclinic,bed,475,St. Michael,2018-03-12 00:00:00,2021-09-13 00:00:00,-59.01129;12.93523,Reinspection due
8240,HF-6350,"Mccann, Dixon and Webb Hosp.",polyclinic,bed,10,St. Peter,2018-03-17 00:00:00,2025-07-08 00:00:00,unknown,unknown
8242,06351,Newman-Wade Hosp.,community health centre,unknown,unknown,St. Andrew,2022-01-20 00:00:00,2023-12-28 00:00:00,unknown,Reinspection due
8243,4a1284,"Collins, Jacobs and Williams Polyclinic",community health centre,bed,243,St. James,2025-02-23 00:00:00,2019-07-31 00:00:00,-58.82192;13.19675,Follow-up 2023
8244,10c541,"Hooper, Johnson and Duran Medical Center",unknown,unknown,322,St. Jospeh,2023-12-21 00:00:00,2025-01-17 00:00:00,"13.15210, -58.74034",Follow-up 2023
8245,06354,Howard Ltd Hospital,unknown,unknown,268,St. George,2018-09-20 00:00:00,2022-11-14 00:00:00,"12.82379, -59.00067",Loved it
8247,6356,"Sharp, Turner and Sullivan (ChristChurch)",hospital,unknown,65,Christ Church,2025-11-12 00:00:00,2023-12-20 00:00:00,unknown,Loved it
8248,#6357,Poole Inc,clinic,unknown,259,St. John,2021-08-04 00:00:00,2025-10-28 00:00:00,POINT(-59.19644 13.27294),Loved it
8251,633fd7,"Phillips, Stuart and Perez 🏥",community health centre,unknown,unknown,St. Andrew,2016-06-07 00:00:00,2020-01-09 00:00:00,unknown, 
8258,6365,Martinez PLC Hospital (St.),unknown,bed,66,St. Peter,2022-01-19 00:00:00,2023-05-13 00:00:00,POINT(-58.80450 13.17630),Reinspection due
8260,06367,Williams Group Hospital (St.),hospital,bed,279,St. Peter,2017-02-06 00:00:00,2018-11-24 00:00:00,"13.09194, -59.11975",Loved it
8264,06371,Burton-Hunter Health Centre,unknown,bed,10,St. John,2019-07-07 00:00:00,2024-03-06 00:00:00,-59.18260;13.28026,Follow-up 2023
8265,06372,Williamson-White Hosp.,clinic,unknown,unknown,St. George,2021-04-04 00:00:00,2018-07-01 00:00:00,-59.17600;13.08596,Good
8266,HF-6373,Gardner LLC 🏥 (ChristChurch),unknown,unknown,unknown,Christ Church,2023-03-02 00:00:00,2019-04-17 00:00:00,POINT(-59.07841 13.22402),Reinspection due
8267,#6374,"King, Torres and Mclaughlin Hospital",community health centre,cot,351,St. Peter,2017-10-14 00:00:00,2021-01-23 00:00:00,-58.82364;12.72279,Reinspection due
8268,HF-6375,Mitchell-Jones Hosp.,clinic,bed,449,St. Jospeh,2019-10-05 00:00:00,2021-08-05 00:00:00,-59.21696;12.75461,Loved it
8269,#6376,Ward-Campbell (St)💊,clinic,bed,70,St. George,2019-06-05 00:00:00,2021-12-27 00:00:00,POINT(-58.85172 12.97733), 
8271,73ca50,"Harrison, Morris and Perez Health Centre (St.)",polyclinic,unknown,unknown,St. Michael,2018-09-03 00:00:00,2020-06-19 00:00:00,POINT(-58.78074 12.83250),Follow-up 2023
8272,#6379,Reed-Bell Clinic (christ)✨,clinic,bed,426,Christ Church,2023-12-29 00:00:00,2018-02-14 00:00:00,POINT(-58.80303 13.21835),Good
8273,#6380,"Miller, Cantu and Fox Hospital
NewLine",hospital,unknown,486,St. James,2016-05-28 00:00:00,2022-04-06 00:00:00,"13.10604, -59.04169",unknown
8275,#6382,Green-Miller,polyclinic,unknown,unknown,St. Michael,2025-07-02 00:00:00,2023-04-20 00:00:00,"-58.87230, 12.91443",unknown
8279,06384,Gutierrez PLC Hosp. (St.John)✨,hospital,unknown,80,St. John,2020-02-27 00:00:00,2022-07-18 00:00:00,13°15′23″N 58°54′55″W,Good
8280,3397f8,Nash and Sons Infirmary (ST.),unknown,unknown,unknown,St. Michael,2022-01-04 00:00:00,2023-08-24 00:00:00,"13.14152, -59.07052",unknown
8283,#6387,"Sullivan, Burns and Orozco Health Centre",unknown,unknown,412,St. John,2024-08-13 00:00:00,2024-08-12 00:00:00,-59.15140;12.91929,Loved it
8286,6389,Lee LLC 🏥,hospital,bed,10,St. John,2020-02-02 00:00:00,2018-05-23 00:00:00,"-59.23379, 12.70641",Loved it
8288,755fc0,Hernandez-Smith Health Centre (St.Michael),polyclinic,unknown,274,St. Michael,2025-05-09 00:00:00,2022-12-30 00:00:00,"-58.99404, 13.29545",unknown
8289,6391,Fowler-Perez,unknown,bed,126,St. Peter,2021-09-13 00:00:00,2024-07-06 00:00:00,unknown,Reinspection due
8290,6392,"Snyder Group Medical Center (St.Michael)
NewLine",community health centre,unknown,unknown,St. Michael,2025-06-28 00:00:00,2020-03-14 00:00:00,unknown,Follow-up 2023
8291,bec84b,Johnson and Sons Infirmary,hospital,unknown,unknown,St. Michael,2017-12-16 00:00:00,2019-06-01 00:00:00,12°59′17″N 59°9′10″W,unknown
8293,HF-6394,"Thomas, Robbins and Stein Infirmary",polyclinic,unknown,unknown,St. George,2022-12-13 00:00:00,2025-02-06 00:00:00,"-58.92590, 12.70072", 
8294,6395,Hudson-Hogan (St.),unknown,unknown,unknown,St. Lucy,2022-12-20 00:00:00,2018-10-10 00:00:00,"12.92615, -58.78355",Loved it
8295,d03323,Martin-Ltd Hosp.,community health centre,unknown,46,St. John,2024-09-10 00:00:00,2018-06-04 00:00:00,"-58.75536, 12.70108",unknown
8296,HF-6397,"Williams,-Watson-and-Cummings Health Centre",unknown,bed,255,St. John,2019-11-12 00:00:00,2022-05-08 00:00:00,unknown,none
8298,#6399,Poole-and-Sons,hospital,unknown,58,St. Jospeh,2020-05-01 00:00:00,2022-03-31 00:00:00,"13.08255, -58.94135",unknown
8299,HF-6400,Nelson PLC Infirmary,community health centre,bed,421,St. Jospeh,2017-01-01 00:00:00,2025-01-20 00:00:00,"12.77267, -58.99211",none
8302,6403,Ramos-Alvarado Infirmary (St),hospital,unknown,unknown,St. James,2025-12-24 00:00:00,2018-11-26 00:00:00,POINT(-59.13651 13.15019), 
8304,HF-6404,Wiley-Walker Infirmary,hospital,unknown,unknown,Christ Church,2019-12-10 00:00:00,2022-04-19 00:00:00,12°42′48″N 58°55′26″W,unknown
8305,6405,"Williams, Cannon and Smith",clinic,unknown,127,St. Andrew,2016-01-14 00:00:00,2020-12-17 00:00:00,-59.03159;12.72451,Good
8306,HF-6406,"Anderson, Chambers and Harvey Health Centre",polyclinic,bed,10,St. Michael,2017-07-28 00:00:00,2019-11-04 00:00:00,POINT(-58.95100 13.13175),unknown
8308,06407,Sanders Ltd Health Centre (St.),unknown,unknown,unknown,St. James,2019-02-10 00:00:00,2021-08-20 00:00:00,"-59.19553, 12.94648",Good
8309,06408,"Lamb, Brown and Morales Polyclinic",unknown,bed,151,St. James,2019-07-11 00:00:00,2023-01-11 00:00:00,13°3′55″N 59°0′32″W,none
8310,6508d7,"Santiago, Hunter and Smith",polyclinic,bed,4,St. James,2020-07-07 00:00:00,2023-03-28 00:00:00,"12.88436, -58.81698", 
8313,HF-6411,Fitzpatrick and Sons Medical Center (St.),polyclinic,unknown,unknown,St. George,2023-04-18 00:00:00,2021-02-03 00:00:00,"-59.18238, 12.98557",Needs upgrade
8314,#6412,"Wheeler, Martinez and Smith Health Centre💊",community health centre,unknown,unknown,St. John,2023-04-18 00:00:00,2019-12-24 00:00:00,unknown,unknown
8315,6413,Barry-Livingston (St),community health centre,unknown,unknown,St. Jospeh,2025-02-28 00:00:00,2022-09-06 00:00:00,"-59.29705, 13.00060",unknown
8316,#6414,"Savage, Taylor and Powell (St.John)",polyclinic,unknown,2,St. John,2025-02-11 00:00:00,2024-04-06 00:00:00,"13.27702, -59.19483", 
8318,#6415,"Kline, Conner and Hudson Infirmary (st.)",community health centre,bed,396,St. John,2023-07-14 00:00:00,2023-03-10 00:00:00,POINT(-58.73166 12.92052),none
8319,#6416,Johnson-Drake Clinic,clinic,unknown,83,St. George,2024-03-02 00:00:00,2018-12-04 00:00:00,unknown,none
8320,14ce76,"Buchanan, Martin and Estes Hospital (St.)",community health centre,bed,398,St. Peter,2018-02-03 00:00:00,2022-02-26 00:00:00,"-59.26105, 12.70816", 
8322,HF-6418,"Johnson, Baker and Ayers Infirmary (st.)",community health centre,cot,69,St. James,2021-01-05 00:00:00,2025-02-06 00:00:00,"13.15111, -58.91063", 
8325,6421,"Jackson-Jackson Clinic (St)
NewLine",clinic,cot,33,St. George,2023-03-14 00:00:00,2025-07-20 00:00:00,-58.71450;12.71510,Loved it
8327,6423,Dougherty-Nash Hospital,community health centre,bed,10,St. James,2018-05-18 00:00:00,2024-10-02 00:00:00,"-58.96964, 13.24915",Loved it
8329,06424,Calhoun-Bradshaw,polyclinic,bed,219,St. Peter,2021-05-05 00:00:00,2022-01-22 00:00:00,"-58.77102, 13.06474", 
8331,HF-6426,"Quinn,-Washington-and-Fisher Clinic (St.Andrew)",community health centre,unknown,161,St. Andrew,2023-04-10 00:00:00,2024-12-11 00:00:00,-59.26563;13.22229,Loved it
8334,3412c6,Cooley-Morton Polyclinic (ST.),clinic,unknown,314,St. Andrew,2017-03-11 00:00:00,2020-05-28 00:00:00,13°14′5″N 58°54′10″W,unknown
8335,#6429,Holt-Jordan Health Centre (st.),unknown,unknown,unknown,St. George,2020-07-21 00:00:00,2020-10-19 00:00:00,POINT(-59.29744 12.85137), 
8336,dc8602,Powell-Johnson (St.Joseph),community health centre,cot,328,St. Jospeh,2019-07-04 00:00:00,2019-08-26 00:00:00,-59.10285;12.91183,Follow-up 2023
8339,HF-6432,Herrera LLC Polyclinic,community health centre,bed,130,St. George,2022-04-08 00:00:00,2019-12-30 00:00:00,-58.75601;12.88132,Reinspection due
8341,e90295,"Stout, Davis and Riley (St.John)",community health centre,bed,10,St. John,2017-06-23 00:00:00,2022-01-23 00:00:00,13°5′16″N 58°56′3″W,Needs upgrade
8342,06434,Dixon Inc Clinic,clinic,unknown,390,St. John,2016-01-14 00:00:00,2018-01-06 00:00:00,"13.04479, -59.08096",Follow-up 2023
8343,HF-6435,Holland Group Polyclinic,community health centre,cot,164,St. Andrew,2016-03-07 00:00:00,2021-07-16 00:00:00,12°43′34″N 58°53′3″W,Loved it
8346,#6437,Baker Group Hospital,community health centre,unknown,unknown,Christ Church,2022-05-25 00:00:00,2020-08-07 00:00:00,-59.08520;13.29055,Reinspection due
