facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
06149,"Allen,-Irwin-and-Hernandez Polyclinic",Community Health Ctr.,432 capacity,ST. GEORGE PARISH,26/05/23,16/05/23,-58.76436;12.97354,
06150,Gutierrez PLC Medical Center,Polyclinic 🏥,124 capacity,st. lucy,17 Jun 2021,20180327,"-58.74609, 12.83888", 
f9fa51,"Hernandez, Trujillo and Miranda 🏥",,ten beds,St. Lucy Parish,02 Oct 2018,2022-06-25,-59.14052;13.28535,Needs upgrade
NULL,Wilson-Evans 🏥,,127 beds,St. John Parish,20181011,02 Jul 2022,"-58.79744, 12.89235",Needs upgrade
HF-6153,Henry-Sullivan Polyclinic,Community Health Centre,438 patients,St.Michael,2021-10-22,20220206,N/A,Reinspection due
HF-6153,Henry-Sullivan Polyclinic,Community Health Centre,438 patients,ST.MICHAEL,2021-10-22,20220206,N/A,Reinspection due
6154,"Jimenez,-Reyes-and-Reyes Clinic",Clinic,323 patients,St. George Parish,17/04/23,2020-12-02,N/A,
,"Shannon, Stephens and Anthony Health Centre (St.)",Polyclinic 🏥,7 patients,St. Andrew Parish,05-03-17,2024-01-03,13°17′13″N 58°45′47″W,
06156,"Garcia, Carroll and White",Community Health Ctr.,,St.James,28-04-18,20241124,"-59.09376, 12.74796",Needs upgrade
06156,"Garcia, Carroll and White",Community Health Ctr.,,St.James,28-04-18,20241124,"-59.09376, 12.74796",Needs upgrade
NULL,"Heath, Lee and Rush Hosp. (ST.)💊",Polyclinic,ten beds,ST. GEORGE,20160814,2025-07-23,POINT(-59.22736 13.06337),
NULL,"Heath, Lee and Rush Hosp. (ST.)💊",Polyclinic,ten beds,ST. GEORGE,20160814,2025-07-23,POINT(-59.22736 13.06337),
06158,Salas-Hughes 🏥,,unknown,St. Lucy,27 May 2020,June 06 2020,"13.23952, -59.28759",Needs upgrade
06159,"Hodge, Robinson and Baxter 🏥 (st.)",Community Health Ctr.,225 patients,st. george,26 Sep 2019,10/08/24,POINT(-59.25959 12.88334),Reinspection due
06159,"Hodge, Robinson and Baxter 🏥 (st.)",Community Health Ctr.,225 patients,st. george,26 Sep 2019,10/08/24,POINT(-59.25959 12.88334),Reinspection due
HF-6160,Kim-Hawkins Infirmary,,N/A,St. Peter,30-09-24,December 31 2021,-58.78211;13.24016,-
#6161,Webster-Peck Medical Center (semaJ),Health Centre,211 bed,semaJ .tS,20251229,03-07-18,"12.98711, -59.18026",Good
HF-6162,Vasquez-PLC Medical Center,Community Health Ctr.,ten beds,ChristChurch,32/13/99,November 08 2018,13°5′25″N 58°44′31″W,-
6163,Martinez Group Infirmary (St.),Clinic,338 capacity,St. Andrew ,20161002,21/10/21,N/A,Reinspection due
HF-6164,Johnson Group 🏥 (Christ),Polyclinic 🏥,282 capacity,Christ Church,05/03/18,February 14 2022,"13.15886, -58.75803",
6165,Reyes-PLC (st.),Health Ctr.,unknown,st. andrew,30/06/23,20231120,POINT(-58.84057 12.75264),
06166,Barrett-Cohen,Hosp.,159 patients,ST. PETER,19/04/25,24 Oct 2020,-59.29462;12.89256,♥
,"Jones, Parker and Miller Hosp.©",Polyclinic 🏥,272Beds,St.John,2025-11-13,03-01-19,-59.20937;12.90121,-
,"Lopez, Gutierrez and Wolf Hosp. (St.John)",Community Health Ctr.,338 beds,St.John,2023-01-20,August 20 2024,N/A,
06169,Keller LLC (ST.)©,Polyclinic,493 beds,ST. LUCY,2025-10-15,13/03/19,12°50′53″N 58°55′10″W,Reinspection due
06169,Keller LLC (ST.)©,Polyclinic,493,ST. LUCY,2025-10-15,13/03/19,12°50′53″N 58°55′10″W,Reinspection due
06170,"Ryan, Mcmillan and Baldwin Infirmary",Hospital,4 beds,St.Peter,03/10/23,27 Oct 2024,N/A,♥
06170,"Ryan, Mcmillan and Baldwin Infirmary",Hospital,4,St.Peter,03/10/23,27 Oct 2024,N/A,♥
06171,Rosales-PLC Hospital,,,Christ Church Parish,20220526,03/05/23,"-59.27175, 12.97718",-
NULL,Nolan Inc Polyclinic (St.Lucy),Hospital,6,St.Lucy,14/08/22,05/09/20,12°55′3″N 58°48′51″W,Reinspection due
06173,"Goodwin, Grant and Walker Hospital",Polyclinic,285 capacity,st. john,August 15 2018,10/08/21,"12.91626, -58.77650",Reinspection due
06173,"Goodwin, Grant and Walker Hospital",Polyclinic,285 capacity,st. john,August 15 2018,10/08/21,"12.91626, -58.77650",Reinspection due
NULL,Lewis-Huang,,,St. George,July 07 2019,20200922,POINT(-58.82053 12.88060),
NULL,"Stewart,-Trevino-and-Barr Medical Center",Clinic,323 patients,St.John,2018-01-17,07/02/24,"12.86038, -58.76386",
HF-6176,Pittman-Hunter Medical Center,Polyclinic 🏥,N/A,st. joseph,August 01 2024,19 Dec 2025,N/A,-
6177,Mcdonald Group Clinic,Polyclinic 🏥,3 bed,st. michael,December 22 2017,2022-01-27,"-58.70306, 12.84775",-
,Robbins-Wilson Clinic,Hospital,479 bed,St Joseph,11 Aug 2017,20-06-24,"-59.00384, 12.88282", 
#6179,"Lucas, Little and Johnson Infirmary",Health Centre,ten beds,reteP .tS,20161102,June 27 2023,"13.06068, -59.01922",Good
6179,"Lucas, Little and Johnson Infirmary",Health Centre,ten beds,reteP .tS,20161102,June 27 2023,"13.06068, -59.01922",Good
6180,James Ltd Infirmary,,unknown,St James,2021-12-08,2021-06-24,-59.07032;13.16162,-
HF-6181,"Harrison,-Smith-and-Rogers Health Centre",Hosp.,395Beds,ST. LUCY,2017-06-29,11 Apr 2020,"-59.16052, 12.77403",♥
HF-6181,"Harrison,-Smith-and-Rogers Health Centre",Hosp.,395Beds,ST. LUCY,2017-06-29,11 Apr 2020,"-59.16052, 12.77403",♥
06182,Mendez-Reed 🏥,Hosp.,N/A,christ church,15-07-21,06-12-18,-59.16457;13.23461,Needs upgrade
06182,Mendez-Reed 🏥,Hosp.,N/A,christ church,15-07-21,06-12-18,-59.16457;13.23461,Needs upgrade
#6183,Camacho Group 🏥 (st.),Polyclinic 🏥,ten beds,st. george,26 Jul 2019,12/06/23,POINT(-58.77741 13.21553),Good
HF-6184,Harris LLC Health Centre✨,Health Ctr.,N/A,St. Lucy ,20241220,2025-09-12,13°12′7″N 59°12′29″W,Follow-up 2023
HF-6184,Harris LLC Health Centre✨,Health Ctr.,N/A,St. Lucy ,20241220,2025-09-12,13°12′7″N 59°12′29″W,Follow-up 2023
HF-6185,Smith PLC Polyclinic (ST.),Hospital,unknown,ST. PETER,2022-06-30,2025-08-01,"13.16868, -58.86323", 
#6186,Flores Ltd Infirmary,Polyclinic,217 capacity,St. Andrew,November 12 2017,May 28 2021,12°57′54″N 58°52′52″W,Reinspection due
,Paul-Group Clinic,Health Ctr.,,St.Peter,29-05-24,March 22 2024,13°7′54″N 59°9′2″W,-
06188,"Andrews, Dawson and Smith",Hosp.,218 beds,st. andrew,25/08/25,August 11 2025,"13.24656, -58.81446",Reinspection due
06188,"Andrews, Dawson and Smith",Hosp.,218 beds,st. andrew,25/08/25,August 11 2025,"13.24656, -58.81446",Reinspection due
#6189,"Gardner,-Robertson-and-May Infirmary",Clinic,168 beds,St. Michael Parish,32/13/99,32/13/99,13°13′30″N 58°42′59″W,Follow-up 2023
#6190,Wright-Perkins Health Centre (st.),Polyclinic,,st. andrew,32/13/99,24 Nov 2018,POINT(-59.02837 12.85470),-
#6190,Wright-Perkins Health Centre (st.),Polyclinic,,st. andrew,32/13/99,24 Nov 2018,POINT(-59.02837 12.85470),-
06191,"Sosa, Franklin and Baxter Infirmary (St)",Community Health Ctr.,232 cots,St John,20-03-24,29-04-19,"-58.93860, 12.72949",Good
06191,"Sosa, Franklin and Baxter Infirmary (St)",Community Health Ctr.,232 cots,St John,20-03-24,29-04-19,"-58.93860, 12.72949",Good
6192,Lawrence-Hicks Hosp. (St),Clinic🌡️,127 bed,St Lucy,November 19 2022,20241011,POINT(-59.17059 12.82379),Good
6192,Lawrence-Hicks Hosp. (St),Clinic🌡️,127 bed,St Lucy,November 19 2022,20241011,POINT(-59.17059 12.82379),Good
NULL,"White,-Miller-and-Reed Hosp. (CHRIST)",Health Centre,N/A,CHRIST CHURCH,13-12-19,32/13/99,POINT(-59.18162 12.94953),Good
06194,"Fleming, Kim and Evans Hospital",,54Beds,Christ Church,20210205,2021-12-27,-58.94090;13.03546, 
,Lee PLC Infirmary (St.John),Community Health Ctr.,291 capacity,St.John,20220205,20191225,"13.14471, -59.09157",
HF-6196,"Anderson, Martin and Wilson",Clinic,242 patients,St. Joseph Parish,28-02-24,16 Aug 2024,13°10′46″N 58°45′32″W,Good
HF-6196,"Anderson, Martin and Wilson",Clinic,242 patients,St. Joseph Parish,28-02-24,16 Aug 2024,13°10′46″N 58°45′32″W,Good
HF-6197,Jennings-Paul Clinic,,N/A,St. Joseph ,28-04-23,04 May 2020,-58.96568;12.84919,Needs upgrade
#6198,Lambert-Martin Polyclinic (St.),Health Ctr.,N/A,St. Lucy Parish,19/11/18,09-03-21,"-58.82515, 13.17304",-
NULL,Riddle-Roy,Clinic🌡️,441 cots,St. Joseph ,12-10-20,19/08/21,N/A,Reinspection due
c70472,"Ruiz, Johnson and Walter Clinic (christ)",,180Beds,christ church,25-02-24,09-05-21,13°4′47″N 58°42′6″W,Good
NULL,Macdonald-Velez Infirmary,Health Centre,175 beds,nhoJ .tS,07/09/16,19-12-19,"-59.17653, 12.93753",Follow-up 2023
NULL,Macdonald-Velez Infirmary,Health Centre,175 beds,nhoJ .tS,07/09/16,19-12-19,"-59.17653, 12.93753",Follow-up 2023
,Lee-Adkins Infirmary (St.),Clinic,N/A,St. Lucy Parish,20170109,14-12-19,"13.25353, -58.95865",Good
6203,Mills and Sons Infirmary,Hospital,66,St. George Parish,2023-05-18,2020-09-30,-58.70612;13.28581,Needs upgrade
NULL,Sanchez Inc Polyclinic©,Health Centre,N/A,christ church,July 12 2023,20240312,POINT(-58.83048 13.04232),♥
NULL,Sanchez Inc Polyclinic©,Health Centre,N/A,christ church,July 12 2023,20240312,POINT(-58.83048 13.04232),♥
0c9028,Tran-Craig Infirmary (leahciM),Community Health Centre,155 patients,leahciM .tS,23-03-25,02/03/18,"12.81198, -59.28179",Reinspection due
NULL,"Cox, Morris and Crane Hospital (St)",,481Beds,St Michael,11-07-22,10 Aug 2025,N/A,♥
06207,Parks-Villanueva Health Centre (CHRIST),Clinic🌡️,unknown,CHRIST CHURCH,17 Jun 2025,January 10 2023,"12.87181, -59.04692",Needs upgrade
06207,Parks-Villanueva Health Centre (CHRIST),Clinic🌡️,unknown,CHRIST CHURCH,17 Jun 2025,January 10 2023,"12.87181, -59.04692",Needs upgrade
NULL,Caldwell-Mclaughlin (ST.),Clinic🌡️,426,ST. JOHN,2017-06-01,20241207,POINT(-59.28112 13.29388),Needs upgrade
6209,Walsh Ltd Polyclinic,Clinic🌡️,48 capacity,St. George,25 Jun 2021,11-03-24,N/A,Needs upgrade
6209,Walsh Ltd Polyclinic,Clinic🌡️,48 capacity,St. George,25 Jun 2021,11-03-24,N/A,Needs upgrade
,Reed-Jackson,,283 cots,ST. ANDREW,20220601,01/01/18,N/A, 
#6211,Todd-Inc Medical Center (ChristChurch),,468Beds,ChristChurch,11 Jul 2023,10-06-25,12°43′12″N 59°9′25″W,♥
#6211,Todd-Inc Medical Center (ChristChurch),,468Beds,ChristChurch,11 Jul 2023,10-06-25,12°43′12″N 59°9′25″W,♥
06212,Ewing-Johnson Medical Center,Polyclinic,402 capacity,ST. LUCY,09 Feb 2018,12 Aug 2018,"12.75157, -59.07293", 
06212,Ewing-Johnson Medical Center,Polyclinic,402 capacity,ST. LUCY,09 Feb 2018,12 Aug 2018,"12.75157, -59.07293", 
5e4d3a,Smith-Greene Infirmary,,314 beds,st. james,2021-06-18,20240718,"12.87751, -58.85582",Follow-up 2023
#6214,Holden-Diaz Polyclinic,Hosp.,296 beds,egroeG .tS,20171218,2021-01-28,13°3′5″N 58°43′35″W,♥
NULL,Rodriguez Ltd,Clinic,112Beds,ST. MICHAEL,05-05-18,20190429,"12.79452, -58.70696",Needs upgrade
NULL,Rodriguez Ltd,Clinic,112Beds,ST. MICHAEL,05-05-18,20190429,"12.79452, -58.70696",Needs upgrade
6216,Morales-Martinez Infirmary,,N/A,st. john,31 May 2016,September 01 2023,N/A,
NULL,"Spencer, Jones and Jones Clinic",Polyclinic 🏥,unknown,St.Lucy,30 Nov 2025,09 May 2025,13°10′12″N 58°58′5″W,Needs upgrade
NULL,"Spencer, Jones and Jones Clin.",Polyclinic 🏥,unknown,St.Lucy,30 Nov 2025,09 May 2025,13°10′12″N 58°58′5″W,Needs upgrade
HF-6218,"Rogers,-Kim-and-Sheppard Infirmary",Clinic,N/A,hcruhC tsirhC,23/10/18,30/04/19,"12.82938, -58.78693",
HF-6219,Wheeler Group Hosp. (St.),Hosp.,102 bed,St. Joseph Parish,2018-11-15,20240612,"-59.08248, 13.08028", 
6220,House-Weaver Clinic,Health Centre,61 cots,St. John,16 Aug 2018,23/12/22,POINT(-58.75664 13.21731),♥
HF-6221,Mcintosh Inc,Hosp.,unknown,egroeG .tS,12-05-17,18/08/22,13°0′58″N 59°6′20″W,
452133,Smith-Gutierrez Medical Center (St.James)💊,Community Health Ctr.,50 bed,St.James,15-11-16,03/08/23,"-59.20126, 13.22158",
#6223,"Patel, Martinez and Wells Health Centre (St.John)",Clinic🌡️,N/A,St.John,January 08 2020,20231106,POINT(-59.25240 13.10177),Good
06224,"White, Robertson and Blake Clinic",Community Health Centre,,St. George ,June 23 2023,2022-11-08,-59.05135;12.89842,Good
HF-6225,Hall-Hawkins Infirmary,Hospital,,St George,24 Jul 2023,16/04/21,"-59.00294, 12.77606",Reinspection due
06226,"Stone, Patton and Perry Health Centre",Health Ctr.,171,St.Lucy,19 Apr 2023,20231022,-58.94024;12.94858,♥
06226,"Stone, Patton and Perry Health Centre",Health Ctr.,171,St.Lucy,19 Apr 2023,20231022,-58.94024;12.94858,♥
NULL,Guerrero-Williams,Health Centre,ten beds,St. Peter ,13-07-25,07 Sep 2023,"13.25294, -59.24476",Good
NULL,Guerrero-Williams,Health Centre,ten beds,St. Peter ,13-07-25,07 Sep 2023,"13.25294, -59.24476",Good
06228,Burke Ltd Polyclinic,Health Centre,79,St. Andrew ,November 08 2025,22-12-20,12°47′33″N 58°42′20″W,Needs upgrade
06228,Burke Ltd Polyclinic,Health Centre,79,St. Andrew ,November 08 2025,22-12-20,12°47′33″N 58°42′20″W,Needs upgrade
,"Bell,-Holmes-and-Wilson (St.)
NewLine",Clinic,18 patients,St. Michael,2019-11-07,20200518,-58.72343;12.73825, 
#6230,"Hoffman, Rodgers and Willis Infirmary",Community Health Centre,181 capacity,St. Joseph Parish,06-10-17,2020-10-09,"13.00744, -59.19746",
#6230,"Hoffman, Rodgers and Willis Infirmary",Community Health Centre,181 capacity,ST. JOSEPH PARISH,06-10-17,2020-10-09,"13.00744, -59.19746",
#6231,Garcia Inc Clinic,Clinic,,St. John,03/05/17,2020-02-09,N/A, 
6232,Tran-Lopez Hospital©,,454Beds,St. Joseph,20191006,June 28 2022,N/A,♥
6232,Tran-Lopez Hosp.©,,454Beds,St. Joseph,20191006,June 28 2022,N/A,♥
#6233,"Wilson-Cruz
NewLine",Polyclinic 🏥,,ycuL .tS,05-09-20,08 Jun 2024,N/A,Needs upgrade
#6233,"Wilson-Cruz
NewLine",Polyclinic 🏥,,YCUL .TS,05-09-20,08 Jun 2024,N/A,Needs upgrade
6234,Haynes-Group Infirmary (leahciM),Health Ctr.,168 capacity,leahciM .tS,November 18 2018,2025-12-01,"12.93385, -58.93135",Good
#6235,Garcia PLC Infirmary (St.)✨,Community Health Ctr.,unknown,St. Lucy ,29/11/16,20221230,"13.29003, -58.80851",Needs upgrade
06236,"Hill LLC Medical Center (St)
NewLine",Health Centre,341,St John,27 Nov 2017,21-09-21,-58.75306;12.92677, 
13d301,Chambers-Miller Health Centre,Health Centre,101Beds,St.George,07/03/25,2025-05-28,N/A,Follow-up 2023
HF-6238,"Taylor, Harrison and Price",Clinic🌡️,59 capacity,St Michael,20181014,20240116,-58.77663;13.08773,Good
HF-6238,"Taylor, Harrison and Price",Clinic🌡️,59 capacity,ST MICHAEL,20181014,20240116,-58.77663;13.08773,Good
f7dbd6,"Mathews, Holland and Bradley Polyclinic",Hosp.,452 beds,St John,2018-08-05,18/10/21,13°14′29″N 59°11′14″W,-
,Carroll LLC Infirmary,Health Ctr.,488Beds,Christ Church,16/12/19,17-02-25,"-59.17825, 12.80326",Follow-up 2023
,Carroll LLC Infirmary,Health Ctr.,488Beds,Christ Church,16/12/19,17-02-25,"-59.17825, 12.80326",Follow-up 2023
c3642a,Charles-Thompson,Hospital,411 patients,St. Joseph Parish,27 May 2023,25 Apr 2025,13°4′48″N 59°0′12″W,
c3642a,Charles-Thompson,Hospital,411 patients,ST. JOSEPH PARISH,27 May 2023,25 Apr 2025,13°4′48″N 59°0′12″W,
#6242,Williams-Group Infirmary,Hospital,ten beds,Christ Church Parish,2022-03-02,November 05 2025,"13.09345, -58.84178",
6242,Williams-Group Infirmary,Hospital,ten beds,Christ Church Parish,2022-03-02,November 05 2025,"13.09345, -58.84178",
#6243,Stuart-Walker Infirmary,Polyclinic 🏥,N/A,st. peter,20250929,09-04-18,"12.87969, -58.86684",-
6243,Stuart-Walker Infirmary,Polyclinic 🏥,N/A,ST. PETER,20250929,09-04-18,"12.87969, -58.86684",-
#6244,Brown-Robinson,Hosp.,105 beds,ST. GEORGE,October 14 2023,2025-03-13,12°58′8″N 58°46′12″W,Follow-up 2023
NULL,"Berry, Lopez and Jackson Hosp. (St.)💊",Health Ctr.,unknown,St. Andrew ,2021-03-10,21 Dec 2022,"-59.05838, 13.07891",Needs upgrade
NULL,"Berry, Lopez and Jackson Hosp. (St.)💊",Health Ctr.,unknown,St. Andrew ,2021-03-10,21 Dec 2022,"-59.05838, 13.07891",Needs upgrade
,"Johnson,-Hernandez-and-Gutierrez💊",,447 patients,christ church,20231007,08/01/23,13°11′50″N 59°17′50″W,
HF-6247,"Camacho, Henderson and Copeland Hosp. (St)",Clinic🌡️,ten beds,St John,20170211,20230429,-59.18863;13.12587,
#6248,"May, Smith and Willis Clinic",Clinic🌡️,unknown,St.Joseph,23-08-20,06 May 2025,12°44′52″N 58°42′30″W,Reinspection due
,"Prince, Lowery and Wilkins Infirmary (werdnA)",Clinic,387 capacity,werdnA .tS,January 21 2021,20230414,-58.96213;13.27086,Needs upgrade
06250,"Miller, Ellison and Rodriguez Polyclinic (St.)",CHC,331Beds,St. George ,19 Aug 2020,2021-12-08,"12.94498, -58.96999",Needs upgrade
#6251,"Humphrey, Mitchell and Palmer Hospital",,unknown,CHRIST CHURCH,November 02 2017,15 Jun 2022,-58.76089;12.89079,-
0c2efb,Briggs-Thompson 🏥 (hpesoJ),Community Health Centre,,hpesoJ .tS,September 11 2024,27/07/21,"13.09459, -59.15007",Good
06253,Hartman-Wilson Polyclinic,Hosp.,452Beds,st. michael,20250103,25/04/25,-58.82706;13.16639,Needs upgrade
HF-6254,Williams-Group (St.George),Community Health Centre,443 patients,St.George,2021-04-10,28 Jul 2021,"12.74279, -58.77526",
HF-6254,Williams-Group (St.George),Community Health Centre,443 patients,ST.GEORGE,2021-04-10,28 Jul 2021,"12.74279, -58.77526",
HF-6255,Brown-Hamilton Hosp.,CHC,ten beds,St Joseph,06-10-18,22/02/22,"12.89612, -58.70809",Reinspection due
06256,"Zamora, Myers and Smith",,331,St. Joseph,22/08/16,March 24 2019,N/A,Good
06256,"Zamora, Myers and Smith",,331,St. Joseph,22/08/16,March 24 2019,N/A,Good
,"Hickman, Lopez and Ferguson Hosp. (st.)",Hospital,unknown,st. andrew,20191104,31-12-23,-59.10110;12.77857,
,"Hickman, Lopez and Ferguson Hosp. (st.)",Hospital,unknown,ST. ANDREW,20191104,31-12-23,-59.10110;12.77857,
7502ad,Rogers-Thomas Medical Center,Polyclinic,181 beds,St. James,11-06-20,07/09/25,POINT(-58.92621 12.72235),
c88d47,Freeman Group (St.Joseph),Clinic🌡️,32 beds,St.Joseph,2018-01-03,May 28 2020,N/A, 
NULL,Clark-Rodriguez Medical Center (st.)©,Clinic,ten beds,st. michael,32/13/99,05/09/22,12°57′20″N 58°46′38″W,-
06261,"Lee, Joseph and Wilson",Community Health Centre,334 bed,St.Michael,April 21 2017,06 Dec 2021,N/A, 
06262,"Rivera, Kim and Robinson Clinic",Clinic🌡️,unknown,hcruhC tsirhC,July 16 2025,08 Feb 2022,13°1′46″N 59°1′47″W,
06262,"Rivera, Kim and Robinson Clin.",Clinic🌡️,unknown,HCRUHC TSIRHC,July 16 2025,08 Feb 2022,13°1′46″N 59°1′47″W,
,Fowler-Thompson (St),Community Health Ctr.,299 bed,St Lucy,20/12/22,20211123,"13.14131, -59.17079",Good
,"Jackson,-Ward-and-Juarez Hospital (Christ)",Community Health Centre,,Christ Church Parish,19/12/16,30/03/22,POINT(-59.16707 12.79967),
330fb1,Moore-Rogers Medical Center (ST.),Community Health Centre,,ST. LUCY,26-12-19,25-08-24,N/A,♥
330fb1,Moore-Rogers Medical Center (ST.),Community Health Centre,,ST. LUCY,26-12-19,25-08-24,N/A,♥
HF-6266,Bradshaw Ltd 🏥,Health Centre,164 cots,st. peter,August 15 2022,12 Aug 2020,N/A,
#6267,Lynch-Carter Hosp. (st.),Health Ctr.,N/A,st. andrew,20231217,05-06-18,-59.22506;13.20547,-
6267,Lynch-Carter Hosp. (st.),Health Ctr.,N/A,st. andrew,20231217,05-06-18,-59.22506;13.20547,-
HF-6268,"Graham, Wells and Perez Polyclinic (St.)",Clinic,355 capacity,St. James,21 Sep 2024,17/12/21,"-58.72612, 13.11330",-
6269,"Frey, Castillo and Rojas",Community Health Ctr.,N/A,hcruhC tsirhC,2017-10-29,September 07 2021,"12.87795, -58.75990",
06270,"Edwards, Johnson and Beard Infirmary (st.)",Hospital,92 bed,st. james,20230826,20210218,"-59.12805, 13.28696",♥
06270,"Edwards, Johnson and Beard Infirmary (st.)",Hospital,92 bed,st. james,20230826,20210218,"-59.12805, 13.28696",♥
06271,"Rosario,-Sanford-and-Lang Hosp.",Clinic,,Christ Church,15/10/18,03 Oct 2022,-58.94585;13.20163,Good
06271,"Rosario,-Sanford-and-Lang Hosp.",Clinic,,CHRIST CHURCH,15/10/18,03 Oct 2022,-58.94585;13.20163,Good
3d96ce,Shaw and Sons 🏥,Clinic,ten beds,ST. GEORGE,20230511,18-12-19,POINT(-59.11595 13.08054),
3d96ce,Shaw and Sons 🏥,Clinic,ten,ST. GEORGE,20230511,18-12-19,POINT(-59.11595 13.08054),
6273,Ford PLC Infirmary (St.Lucy),CHC,216Beds,St.Lucy,14/04/19,28-09-24,"12.93170, -59.01629",Needs upgrade
NULL,"Harrison, Jones and Lowe Hospital",,unknown,ST. JAMES,08 May 2019,10/09/23,"13.24669, -58.82693",Good
836d33,Brown LLC 🏥,Clinic,ten beds,ChristChurch,2025-12-13,2023-11-08,12°56′9″N 59°14′54″W, 
06276,"Mejia-Williams Clinic
NewLine",Hospital,478 capacity,st. michael,10 Aug 2016,18/05/24,"-59.10330, 13.15690",Reinspection due
6277,Gonzalez-Taylor (st.),Hosp.,29,st. michael,03-12-22,23-08-19,"-59.28555, 13.03056",Good
,"Quinn, Torres and Grant Medical Center",Polyclinic 🏥,66 cots,christ church,11-02-19,03-01-25,POINT(-58.83370 12.89734),-
,"Quinn, Torres and Grant Medical Center",Polyclinic 🏥,66 cots,christ church,11-02-19,03-01-25,POINT(-58.83370 12.89734),-
886131,"Johnson, Orr and Perez",Clinic,492 patients,st. peter,08-06-21,14-02-19,"12.72559, -58.99244",Good
886131,"Johnson, Orr and Perez",Clinic,492 patients,st. peter,08-06-21,14-02-19,"12.72559, -58.99244",Good
6280,Cook-Blackburn Polyclinic (Christ),Polyclinic,20 bed,Christ Church,01-11-22,December 11 2024,-58.90426;12.70029,♥
HF-6281,Walker-Cain 🏥,Clinic,81 cots,St. Andrew ,17-10-20,20180802,"12.78361, -58.79754",-
HF-6281,Walker-Cain 🏥,Clinic,81 cots,St. Andrew ,17-10-20,20180802,"12.78361, -58.79754",-
HF-6282,"Carroll, Baldwin and Gordon Hospital",Health Ctr.,unknown,Christ Church ,20210301,07 Sep 2025,POINT(-59.24072 13.17901), 
HF-6282,"Carroll, Baldwin and Gordon Hosp.",Health Ctr.,unknown,Christ Church ,20210301,07 Sep 2025,POINT(-59.24072 13.17901), 
b7983d,"Jordan,-Mills-and-Keith Hosp. (leahciM)",Health Ctr.,91 beds,leahciM .tS,29-12-16,10 Dec 2021,N/A,-
6284,Knight-PLC,Health Centre,,St. Peter,2023-04-09,06-12-25,N/A,Good
6284,Knight-PLC,Health Centre,,ST. PETER,2023-04-09,06-12-25,N/A,Good
HF-6285,"Livingston-Stone Polyclinic
NewLine",Community Health Centre,ten beds,St. Lucy,32/13/99,09-11-24,-59.04861;13.07822,Needs upgrade
6286,Pierce-Larsen 🏥 (christ),Community Health Ctr.,482 cots,christ church,20161227,20230902,-59.14242;13.20706,
6286,Pierce-Larsen 🏥 (christ),Community Health Ctr.,482 cots,christ church,20161227,20230902,-59.14242;13.20706,
#6287,Mitchell and Sons Hosp.,CHC,unknown,St Peter,2020-04-15,15 Dec 2022,-58.99482;13.27209,
HF-6288,Grant-Huang Medical Center✨,Clinic,454Beds,St. James,24-04-24,May 04 2018,N/A,
HF-6288,Grant-Huang Medical Center✨,Clinic,454Beds,St. James,24-04-24,May 04 2018,N/A,
6289,Haynes-Santiago Infirmary (reteP),,,reteP .tS,2022-01-18,20240511,"-59.25566, 13.05797",-
HF-6290,Montgomery-Johnson,Community Health Centre,,St.Michael,July 11 2025,18 Apr 2025,"-58.99728, 12.84539",♥
HF-6291,Hart Inc Medical Center,Clinic🌡️,unknown,St.James,11/01/18,21 Jul 2024,"-59.22368, 13.21898",Follow-up 2023
NULL,Smith-Young Health Centre (St.),Health Centre,219 cots,St. John ,08/10/18,September 27 2025,"-58.72673, 12.74386", 
NULL,Smith-Young Health Centre (St.),Health Centre,219 cots,ST. JOHN ,08/10/18,September 27 2025,"-58.72673, 12.74386", 
NULL,Shelton-Huang Polyclinic (ST.),,339 bed,ST. MICHAEL,07/06/18,2024-04-25,POINT(-58.95123 13.10221),♥
#6294,"Robinson, Brown and Howard Medical Center",Hosp.,424 beds,ChristChurch,20210510,09 Jul 2020,POINT(-58.85960 12.98599),Needs upgrade
06295,"Payne, Clark and Mccoy Infirmary",Hospital,399 cots,st. john,2021-04-05,20180712,N/A,
06296,"Richardson, Adkins and Hicks Clinic",,318,St.Joseph,09/02/25,27 Apr 2020,"12.99475, -58.71237",Needs upgrade
6297,King PLC,Hosp.,,St. Lucy,13/08/20,19 Aug 2024,12°45′35″N 59°15′34″W,Reinspection due
,Moran-Arnold Clinic,CHC,298,St. John,12-01-21,25 Sep 2024,"-58.95651, 12.89212",Needs upgrade
NULL,Castillo-Obrien,Health Centre,unknown,St. Lucy Parish,May 30 2019,April 18 2023,"12.85895, -59.06096",Good
2f4500,Johnson-Stuart Hospital,,80,st. andrew,2020-02-27,20250307,-59.03552;12.88614,♥
2f4500,Johnson-Stuart Hosp.,,80,st. andrew,2020-02-27,20250307,-59.03552;12.88614,♥
NULL,"Smith, Beasley and Jackson Medical Center",Community Health Ctr.,,St Michael,02/03/23,07-12-25,POINT(-58.98442 12.96582),
NULL,"Smith, Beasley and Jackson Medical Center",Community Health Ctr.,,St Michael,02/03/23,07-12-25,POINT(-58.98442 12.96582),
06302,"Norris, Elliott and Simmons Medical Center (ST.)",Clinic🌡️,ten beds,ST. MICHAEL,2019-01-21,02 Jun 2024,"-59.23923, 12.73133",Good
